,JKL,ATC ,INN,Zaštićeno ime leka,FO,Pakovanje i jačina  leka,Naziv proizvođača leka,Država proizvodnje leka,Cena leka na veliko za pakovanje,DDD,Cena leka na veliko po DDD,Participacija osiguranog lica,Indikacija,Napomena
39,1050102,A11CC03,alfakalcidol,ALPHA D3,"kapsula, meka","bočica, 30 po 0,5 mcg",Teva Pharmaceutical Industries Ltd; Pharmachemie B.V.,Izrael; Holandija,541.3,1 mcg,36.086666666666666,0.25,"1. Hipokalcemija bilo koje etiologije ( E58 ),
  2. Renalna osteodistrofija ( N25.0 ),
  3. Osteomalacija kod vitamin D rezistentnog rahitisa ( E83.3),
  4. Glukokortikoidima indukovana osteoporoza ( M81.4).","Lek se uvodi u terapiju za indikaciju pod tačkom 1.  na osnovu mišljenja endokrinologa, a pod tačkom 2. na osnovu mišljenja nefrologa ili endokrinologa, a pod tačkom 3. i 4. na osnovu mišljenja reumatologa."
40,1050101,A11CC03,alfakalcidol,ALPHA D3,"kapsula, meka","bočica, 30 po 1 mcg",Teva Pharmaceutical Industries Ltd; Pharmachemie B.V.,Izrael; Holandija,1010.1,1 mcg,33.67,0.25,"1. Hipokalcemija bilo koje etiologije ( E58 ),
  2. Renalna osteodistrofija ( N25.0 ),
  3. Osteomalacija kod vitamin D rezistentnog rahitisa ( E83.3),
  4. Glukokortikoidima indukovana osteoporoza ( M81.4).","Lek se uvodi u terapiju za indikaciju pod tačkom 1.  na osnovu mišljenja endokrinologa, a pod tačkom 2. na osnovu mišljenja nefrologa ili endokrinologa, a pod tačkom 3. i 4. na osnovu mišljenja reumatologa."
41,1050121,A11CC04,kalcitriol,ROCALTROL ,"kapsula, meka","blister, 100 po 0,25 mcg",F. Hoffmann-La Roche Ltd.,Švajcarska,1575.6,1 mcg,63.023999999999994,0.25,"
  Renalna osteodistrofija ( N25.0 ).",Lek se u terapiju uvodi na osnovu mišljenja nefrologa ili endokrinologa.
42,2050087,A11CC05,holekalciferol,VIGANTOL ULJE,"oralne kapi, rastvor","bočica sa kapaljkom, 1 po 10 ml (20000 i.j./ml)",Merck KGaA,Nemačka,198.9,20 mcg,0.7956000000000001,0.5,,
43,1063221,B01AA07,acenokumarol,ACENOKUMAROL UNION,tableta,"blister, 30 po 4 mg",Union-Medic d.o.o. Novi Sad,Republika Srbija,183.7,5 mg,7.654166666666667,0.45,,
44,1068220,B01AC04,klopidogrel,PLAVIX,film tableta,28 po 75 mg,Sanofi Winthrop Industrie,Francuska,494.9,75 mg,17.675,0.5,,"1. Lek se uvodi u terapiju na osnovu mišljenja lekara zdravstvene ustanove koja vrši ugradnju stenta i/ili grafta, a obavlja zdravstvenu delatnost na sekundarnom ili tercijarnom nivou zdravstvene zaštite,  za period  do 12 meseci neposredno posle ugradnje stenta i/ili grafta. 
 2. Kod pacijenata u sekundarnoj prevenciji infarkta miokarda i mozga kod osoba koje su rezistentne na acetilsalicilnu kiselinu ( koji su imali jedan ili više vaskularnih događaja ), a na osnovu mišljenja kardiologa ili interniste ili neurologa/neuropsihijatra."
45,1068502,B01AC04,klopidogrel,ZYLLT,film tableta,"blister, 28 po 75 mg","Krka- Farma d.o.o.; Krka, Tovarna Zdravil, d.d, ",Hrvatska; Slovenija,494.9,75 mg,17.675,0.5,,"1. Lek se uvodi u terapiju na osnovu mišljenja lekara zdravstvene ustanove koja vrši ugradnju stenta i/ili grafta, a obavlja zdravstvenu delatnost na sekundarnom ili tercijarnom nivou zdravstvene zaštite,  za period  do 12 meseci neposredno posle ugradnje stenta i/ili grafta. 
 2. Kod pacijenata u sekundarnoj prevenciji infarkta miokarda i mozga kod osoba koje su rezistentne na acetilsalicilnu kiselinu ( koji su imali jedan ili više vaskularnih događaja ), a na osnovu mišljenja kardiologa ili interniste ili neurologa/neuropsihijatra."
46,1068221,B01AC04,klopidogrel,ANTIAGREX,film tableta,"blister, 28 po 75 mg",Actavis LTD   , Malta       ,494.9,75 mg,17.675,0.5,,"1. Lek se uvodi u terapiju na osnovu mišljenja lekara zdravstvene ustanove koja vrši ugradnju stenta i/ili grafta, a obavlja zdravstvenu delatnost na sekundarnom ili tercijarnom nivou zdravstvene zaštite,  za period  do 12 meseci neposredno posle ugradnje stenta i/ili grafta. 
 2. Kod pacijenata u sekundarnoj prevenciji infarkta miokarda i mozga kod osoba koje su rezistentne na acetilsalicilnu kiselinu ( koji su imali jedan ili više vaskularnih događaja ), a na osnovu mišljenja kardiologa ili interniste ili neurologa/neuropsihijatra."
47,1068239,B01AC04,klopidogrel,CLOPIGAL,film tableta,"blister, 28 po 75 mg",Galenika a.d.,Republika Srbija,494.9,75 mg,17.675,0.5,,"1. Lek se uvodi u terapiju na osnovu mišljenja lekara zdravstvene ustanove koja vrši ugradnju stenta i/ili grafta, a obavlja zdravstvenu delatnost na sekundarnom ili tercijarnom nivou zdravstvene zaštite,  za period  do 12 meseci neposredno posle ugradnje stenta i/ili grafta. 
 2. Kod pacijenata u sekundarnoj prevenciji infarkta miokarda i mozga kod osoba koje su rezistentne na acetilsalicilnu kiselinu ( koji su imali jedan ili više vaskularnih događaja ), a na osnovu mišljenja kardiologa ili interniste ili neurologa/neuropsihijatra."
48,1068551,B01AC04,klopidogrel,CLOPIDIX,film tableta,"blister, 28 po 75 mg",Hemofarm a.d.,Republika Srbija,494.9,75 mg,17.675,0.5,,"1. Lek se uvodi u terapiju na osnovu mišljenja lekara zdravstvene ustanove koja vrši ugradnju stenta i/ili grafta, a obavlja zdravstvenu delatnost na sekundarnom ili tercijarnom nivou zdravstvene zaštite,  za period  do 12 meseci neposredno posle ugradnje stenta i/ili grafta. 
 2. Kod pacijenata u sekundarnoj prevenciji infarkta miokarda i mozga kod osoba koje su rezistentne na acetilsalicilnu kiselinu ( koji su imali jedan ili više vaskularnih događaja ), a na osnovu mišljenja kardiologa ili interniste ili neurologa/neuropsihijatra."
49,1068030,B01AC04,klopidogrel,CLOPICOR,film tableta,"blister, 28 po 75 mg",Actavis LTD,Malta,494.9,75mg,17.675,0.5,,"1. Lek se uvodi u terapiju na osnovu mišljenja lekara zdravstvene ustanove koja vrši ugradnju stenta i/ili grafta, a obavlja zdravstvenu delatnost na sekundarnom ili tercijarnom nivou zdravstvene zaštite,  za period  do 12 meseci neposredno posle ugradnje stenta i/ili grafta. 
 2. Kod pacijenata u sekundarnoj prevenciji infarkta miokarda i mozga kod osoba koje su rezistentne na acetilsalicilnu kiselinu ( koji su imali jedan ili više vaskularnih događaja ), a na osnovu mišljenja kardiologa ili interniste ili neurologa/neuropsihijatra."
